málsnúmer;málsheiti;staða máls;heildartími;nefndir
1;fjárlög 2019;Samþykkt sem lög frá Alþingi.;2 days, 19:46:00;
2;ýmsar aðgerðir í samræmi við forsendur fjárlaga 2019;Samþykkt sem lög frá Alþingi.;2:20:00;
3;breyting á ýmsum lögum vegna fjárlaga 2019;Samþykkt sem lög frá Alþingi.;1:55:00;
4;aukatekjur ríkissjóðs;Samþykkt sem lög frá Alþingi.;2:22:00;
5;aðgerðaáætlun í húsnæðismálum;Í nefnd eftir fyrri umræðu.;1:20:00;
6;óréttmæti málshöfðunar Alþingis gegn ráðherrum og afsökunarbeiðni;Í nefnd eftir fyrri umræðu.;3:12:00;
7;alþjóðasamningur um efnahagsleg, félagsleg og menningarleg réttindi;Í nefnd eftir fyrri umræðu.;1:02:00;
8;skattleysi launatekna undir 300.000 kr.;Í nefnd eftir fyrri umræðu.;;
9;mannanöfn;Bíður 1. umræðu.;4:46:00;
10;erfðafjárskattur;Í nefnd eftir 1. umræðu.;0:35:00;
11;sjúkratryggingar;Í nefnd eftir 1. umræðu.;1:07:00;
12;almannatryggingar;Samþykkt sem lög frá Alþingi.;3:40:00;
13;aðgerðaáætlun fyrir árin 2019--2022 til að styrkja stöðu barna og ungmenna;Vísað til ríkisstjórnar.;1:43:00;
14;óháð, fagleg staðarvalsgreining fyrir nýtt þjóðarsjúkrahús;Í nefnd eftir fyrri umræðu.;1:27:00;
15;almenn hegningarlög;Í nefnd eftir 1. umræðu.;2:15:00;
16;vextir og verðtrygging;Í nefnd eftir 1. umræðu.;;
17;búvörulög og búnaðarlög;Í nefnd eftir 1. umræðu.;0:55:00;
18;óundirbúinn fyrirspurnatími;;0:30:00;
19;lyfjaöryggi;;1:26:00;
20;nýting fjármuna heilbrigðiskerfisins;;;
21;kröfur um lægri húsnæðiskostnað í komandi kjarasamningum;;3:46:00;
22;greiðsluþátttaka Sjúkratrygginga í tannréttingum;;1:43:00;
23;samningar við sérfræðilækna;;7:10:00;
24;stefnumótun í heilbrigðismálum;;3:25:00;
25;orkuöryggi þjóðarinnar;;3:11:00;
26;nálgunarbann og brottvísun af heimili;Samþykkt sem lög frá Alþingi.;;
27;dagur nýrra kjósenda;Í nefnd eftir fyrri umræðu.;2:34:00;
28;mótun klasastefnu;Í nefnd eftir fyrri umræðu.;0:48:00;
29;náttúrustofur;Í nefnd eftir fyrri umræðu.;;
30;stofnun lýðháskóla Ungmennafélags Íslands á Laugarvatni;Í nefnd eftir fyrri umræðu.;1:22:00;
31;þjóðfáni Íslendinga og ríkisskjaldarmerkið;Í nefnd eftir 1. umræðu.;;
32;vegalög;Í nefnd eftir 1. umræðu.;0:01:00;
